STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790129,-9999,-9999,-9999,-9999,-9999,-22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790130,-9999,-9999,-9999,-9999,-9999,-21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790131,-9999,-9999,-9999,-9999,-9999,-4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790201,-9999,-9999,-9999,-9999,-9999,0
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790202,-9999,-9999,-9999,-9999,-9999,-5
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790203,-9999,-9999,-9999,-9999,-9999,-4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790204,-9999,-9999,-9999,-9999,-9999,5
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790205,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790206,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790207,-9999,-9999,-9999,-9999,-9999,-3
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790208,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790209,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790210,-9999,-9999,-9999,-9999,-9999,26
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790211,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790212,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790213,-9999,-9999,-9999,-9999,-9999,29
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790214,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790215,-9999,-9999,-9999,-9999,-9999,1
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790216,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790217,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790218,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790219,-9999,-9999,-9999,-9999,-9999,14
